4 MILK 
3995 SCOTT SMITH 
3998 HARVEY MILK 
4002 SCOTT SMITH 
4007 HARVEY MILK 
4011 SCOTT SMITH 
4016 JACK LIRA 
4020 HARVEY MILK 
4044 HARVEY MILK 
4051 DIANNE FEINSTEIN 
4060 DAN WHITE 
4069 HARVEY MILK 
4074 DAN WHITE 
4079 HARVEY MILK 
4082 DAN WHITE 
4096 HARVEY MILK 
4102 DAN WHITE 
4106 HARVEY MILK 
4110 DAN WHITE 
4120 HARVEY MILK 
4142 ANITA BRYANT 
4164 BRIGGS 
4171 CLEVE JONES 
4189 CLEVE JONES 
4193 HARVEY MILK 
4198 DANNY NICCOLETTA 
4201 CLEVE JONES 
4205 HARVEY MILK 
4211 CLEVE JONES 
4224 HARVEY MILK 
4236 CLEVE JONES 
4239 HARVEY MILK 
4252 CLEVE JONES 
4289 JIM RIVALDO 
4293 CLEVE JONES 
4321 HARVEY MILK 
4357 CLEVE JONES 
4362 HARVEY 
4367 CLEVE JONES 
4371 HARVEY MILK 
4381 ANNE KRONENBERG 
4388 DICK PABICH 
4391 HARVEY MILK 
4397 CLEVE JONES 
4410 HARVEY MILK 
4413 FRANK ROBINSON 
4416 JIM RIVALDO 
4421 CLEVE JONES 
4424 HARVEY MILK 
4439 HARVEY MILK 
4456 CLERK 
4459 GORDON LAU 
4472 CLERK 
4478 CLERK 
4481 DAN WHITE 
4484 CLERK 
4489 DIANNE FEINSTEIN 
4503 MAYOR MOSCONE 
4507 HARVEY MILK 
4531 MAYOR MOSCONE 
4545 HARVEY MILK 
4548 DAN WHITE 
4553 HARVEY MILK 
4558 DAN WHITE 
4563 HARVEY MILK 
4568 DAN WHITE 
4573 HARVEY MILK 
4576 DAN WHITE 
4579 HARVEY MILK 
4602 DAN WHITE 
4606 HARVEY MILK 
4611 DAN WHITE 
4633 HARVEY MILK 
4636 JACK LIRA 
4640 HARVEY MILK 
4645 SCOTT SMITH 
4659 HARVEY MILK 
4664 SCOTT SMITH 
4669 HARVEY MILK 
4672 SCOTT SMITH 
4676 HARVEY MILK 
4680 SCOTT SMITH 
4686 HARVEY MILK 
4691 SELF DEPRECATING 
4696 SCOTT SMITH 
4727 DAN WHITE 
4730 HARVEY MILK 
4733 DAN WHITE 
4736 HARVEY MILK 
4739 DAN WHITE 
4742 HARVEY MILK 
4745 DAN WHITE 
4753 HARVEY MILK 
4756 DAN WHITE 
4770 HARVEY MILK 
4783 DAN WHITE 
4795 HARVEY MILK 
4798 DAN WHITE 
4804 HARVEY MILK 
4823 DAN WHITE 
4851 HARVEY MILK 
4858 DAN WHITE 
4872 ANNE KRONENBERG 
4875 HARVEY MILK 
4881 ANNE KRONENBERG 
4884 HARVEY MILK 
4945 CLEVE JONES 
4951 HARVEY MILK 
4970 JOHN BRIGGS 
4973 DRIVER 
4983 JOHN BRIGGS 
4986 MAYOR MOSCONE 
4994 HARVEY MILK 
4998 JOHN BRIGGS 
5002 HARVEY MILK 
5007 JOHN BRIGGS 
5012 HARVEY MILK 
5035 HARVEY MILK 
5047 JOHN BRIGGS 
5050 HARVEY MILK 
5054 JOHN BRIGGS 
5062 HARVEY MILK 
5067 JOHN BRIGGS 
5106 JOHN BRIGGS 
5118 HARVEY MILK 
5134 DICK PABICH 
5144 HARVEY MILK 
5162 DICK PABICH 
5166 HARVEY MILK 
5173 JACK LIRA 
5180 HARVEY MILK 
5185 JACK LIRA 
5189 HARVEY MILK 
5192 JACK LIRA 
5195 HARVEY MILK 
5198 JACK LIRA 
5201 HARVEY MILK 
5209 JACK LIRA 
5224 HARVEY MILK 
5235 HARVEY MILK 
5242 JOHN BRIGGS 
5247 HARVEY MILK 
5255 JOHN BRIGGS 
5266 HARVEY MILK 
5272 JOHN BRIGGS 
5286 HARVEY MILK 
5289 JOHN BRIGGS 
5299 HARVEY MILK 
5324 DAN WHITE 
5348 HARVEY MILK 
5354 JACK LIRA 
5358 HARVEY MILK 
5363 JACK LIRA 
5367 HARVEY MILK 
5371 JACK LIRA 
5380 HARVEY MILK 
5383 DAN WHITE 
5388 HARVEY MILK 
5393 DAN WHITE 
5414 HARVEY MILK 
5420 DAN WHITE 
5426 HARVEY MILK 
5434 DAN WHITE 
5439 HARVEY MILK 
5447 DAN WHITE 
5451 HARVEY MILK 
5458 DAN WHITE 
5479 PASSERBY 
5484 HARVEY MILK 
5509 BODY 
5516 SCOTT SMITH 
5520 HARVEY 
5533 SCOTT SMITH 
5536 HARVEY 
5543 CLEVE JONES 
5550 HARVEY MILK 
5562 HARVEY MILK 
5576 HARVEY MILK 
5580 GIRL 
5583 HARVEY MILK 
5604 DICK PABICH 
5608 HARVEY MILK 
5611 MICHAEL WONG 
5614 HARVEY MILK 
5619 JIM RIVALDO 
5622 HARVEY MILK 
5633 CLEVE JONES 
5638 HARVEY MILK 
5642 CLEVE JONES 
5656 HARVEY MILK 
5663 ANNE KRONENBERG 
5666 HARVEY 
5670 YOUNG TEEN 
5674 HARVEY MILK 
5677 YOUNG TEEN 
5683 HARVEY MILK 
5687 YOUNG TEEN 
5693 HARVEY MILK 
5696 YOUNG TEEN 
5704 HARVEY MILK 
5717 YOUNG TEEN 
5723 HARVEY MILK 
5726 YOUNG TEEN 
5735 DON AMADOR 
5739 HARVEY MILK 
5745 JIM RIVALDO 
5754 HARVEY MILK 
5778 HARVEY MILK 
5790 CHEERS 
5820 CLEVE JONES 
5823 HARVEY MILK 
5828 HALF JOKING 
5842 CLEVE JONES 
5845 HARVEY MILK 
5852 CLEVE JONES 
5864 HARVEY MILK 
5868 CLEVE JONES 
5880 DAN WHITE 
5891 HARVEY MILK 
5904 DAN WHITE 
5914 HARVEY MILK 
5921 OFFICER 
5925 DAN WHITE 
5929 OFFICER 
5990 DAN WHITE 
6005 HARVEY MILK 
6023 MAYOR MOSCONE 
6027 HARVEY MILK 
6035 MAYOR MOSCONE 
6039 HARVEY MILK 
6046 MAYOR MOSCONE 
6054 HARVEY MILK 
6086 DAN WHITE 
6090 KCBS REPORTER 
6097 DAN WHITE 
6107 SCOTT SMITH 
6111 HARVEY MILK 
6114 SCOTT SMITH 
6117 HARVEY MILK 
6121 SCOTT SMITH 
6124 HARVEY MILK 
6130 SCOTT SMITH 
6134 HARVEY MILK 
6148 SCOTT SMITH 
6151 HARVEY MILK 
6156 SCOTT SMITH 
6159 HARVEY MILK 
6163 SCOTT SMITH 
6167 HARVEY MILK 
6170 SCOTT SMITH 
6173 HARVEY MILK 
6189 MAN 
6192 DAN WHITE 
6197 MAN 
6210 DAN WHITE 
6225 HARVEY MILK 
6231 DIANNE FEINSTEIN 
6237 HARVEY MILK 
6251 DAN WHITE 
6255 MAYOR MOSCONE 
